date,source,title,text
2012-05-10,Dow Jones Institutional News,S&P To Add Lam To S&P 500 Index After Novellus Acquisition,Standard & Poor's said it will add semiconductor equipment maker Lam Research Corp. (LRCX) to the S&P 500 index after it completes its acquisition of Novellus Systems Inc. (NVLS).
2012-05-10,Dow Jones Global News Select,S&P To Add Lam To S&P 500 Index After Novellus Acquisition,Standard & Poor's said it will add semiconductor equipment maker Lam Research Corp. (LRCX) to the S&P 500 index after it completes its acquisition of Novellus Systems Inc. (NVLS).
2012-05-11,Dow Jones Chinese Financial Wire,DJ MARKET TALK: SMIC +1.3%; Boosted By Bullish 2Q Outlook,"1239 [Dow Jones]SemiconductorManufacturing International Corp. (0981.HK) is up 1.3% at midday close, outperforming the HSI's 1.2% fall, as its bullish 2Q outlook gives it a shot in the arm. SMIC closed midday at HK$0.38. The company tips 2Q revenue to grow"
2012-05-14,Barron's,Still in the Chips,"Channel Website (dividendchannel.com), Intel added to its accolades Monday with its third payout boost in 18 months. The world's No. 1 semiconductor chip maker, Intel raised its quarterly payout 7%, to 22.5 cents a common share from 21 cents, giving the stock"
2012-05-15,The Mercury,EUROPE,"Banks paced losses, with HSBC dropping 1.5 percent. Infineon Technologies, Europe's second-largest semiconductor maker, retreated after chief executive Peter Bauer decided to step down. ING Groep tumbled 6 percent as EU regulators will re-examine its rescue"
2012-05-15,PR Newswire (U.S.),"Power Transformers - Global Market Size, Average Pricing and Competitive Landscape Analysis to 2020",Pricing-and-Competitive-Landscape-Analysis-to-2020.htm l#utm_source=prnewswire&utm_medium=pr&utm_campaign=Electronic_Component_ and_Semiconductor
2012-05-16,Taiwan Economic News,Taiwan to Nourish Development of Smart Electronic Industry,"Taipei, May 16, 2012 (CENS)--To help Taiwan’s semiconductor industry with industrial optimization and upgrading for a more sustainable growth, Taiwan’s Cabinet has asked Ministry of Economic Affairs to step up nourishing and coordinating development of the"
2012-05-16,Central News Agency English News,Taiwan IC output expected to rise 14.3% in Q2,"its output value in the second quarter, driven by strong sales of smartphones, robust demand for LCD TVs and the recovery of the semiconductor industry, according to a report released Wednesday."
2012-05-16,SeeNews Netherlands,Dutch ASM International jumps on speculations of split-up,"(SeeNews) - May 16, 2012 - Shares in Dutch semiconductor equipment maker ASM International NV (AMS:ASM) jumped today on speculations for increasing possibilities for a separation of the business that may create additional value."
2012-05-18,Dow Jones International News,CypressSemiconductorCut To Neutral From Buy By UBS,Cypress Semiconductor Cut To Neutral From Buy By UBS
2012-05-18,Dow Jones International News,TowerSemiconductorStarted At Buy By Maxim Group,Tower Semiconductor Started At Buy By Maxim Group
2012-05-21,BusinessWorld,Industry group backs adding to high-tech tariff-free list,"Ernesto B. Santiago, president of theSemiconductorand Electronics Industries in the Philippines, Inc., said via text that wider product coverage of the Information Technology Agreement (ITA) will ""expand trade, foster innovation and increase jobs for the"
2012-05-22,Chosun Ilbo,KDI Cuts Growth Outlook to 3.6%,"external demand amid the global recession led to sluggish growth in the mining and service industries and high inventory rates in the semiconductor and IT industries,"" it added. The KDI pointed out that the problem of insolvent subprime banks and high level"
2012-05-23,Dow Jones International News,MagnaChipSemiconductorStarted At Buy By ThinkEquity,MagnaChip Semiconductor Started At Buy By ThinkEquity
2012-05-23,Dow Jones International News,PericomSemiconductorStarted At Buy By ThinkEquity,Pericom Semiconductor Started At Buy By ThinkEquity
2012-05-24,US Fed News,FORM 8-K: LATTICESEMICONDUCTORFILES CURRENT REPORT,"WASHINGTON, May 24 -- LatticeSemiconductorCorp., Hillsboro, Ore., files Form 8-K (current report) with Securities and Exchange Commission on May 22."
2012-05-24,Reuters News,UPDATE 1-Japan April rolled copper output down 8.1 pct yr/yr,"*Semiconductorleadframes recover, auto stays strong"
2012-05-25,Taiwan Economic News,Private Investments in Taiwan Hit NT$290 B. in April,"The remarkable total private investments in April were mainly contributed by TaiwanSemiconductorManufacturing Co. (TSMC) with NT$150 billion investment in building a 12-inch wafer fabrication plant, United Microelectronics Corp. (UMC) with NT$30 billion in"
2012-05-25,Dow Jones News Service,Chip Companies Push For Tariff Bans On Complex Semiconductors,SemiconductorCEOs and other representatives met in upstate New York this week for their annual WorldSemiconductorCouncil meeting. The group included representatives from various U.S. companies such as Micron Technology Inc. (MU) and Analog Devices Inc. (
2012-05-25,ETMAG.com,Barclays Sees Brighter Q2 Growth for Taiwan's Economy,"number of workers on involuntary unpaid leave,"" the bank said. ""The outlook for investment is also looking up, with a number of semiconductor manufacturers issuing stronger guidance for capital expenditures,"" it added. Barclays has forecast Taiwan's 2012 GDP"
2012-05-28,Japan Metal Bulletin,"Japan Cu Strip Output Hits First 20,000 Tonnes in 9 Months","Association on Friday. The output hit 20,000 tonnes for the first time since July 2011 when the demand hit bottom for lead frame of semiconductor and higher export."
2012-05-28,The Wall Street Journal Online,Renesas Disputes Restructuring Reports,"TOKYO—Japan's Renesas Electronics Corp . said it will outsource more chip production to TaiwanSemiconductorManufacturing Co. but described media reports of a drastic restructuring as ""sensational."""
2012-05-28,The Wall Street Journal Online,Renesas Plans Jog the Memory,"Restructuring, losses and bailouts. The latest story from Japanese chip maker Renesas Electronics Corp. is a familiar tale for the nation's semiconductor industry. But this chip narrative could have a better outcome."
2012-05-28,Dow Jones Chinese Financial Wire,DJ MARKET TALK: Nikkei Down 0.6% As Spanish Worries Weigh;8500 Floor,Renesas Electronics (6723.TO) is down 7.0% at Y226 after the firm Thursday announced plans to outsource chip production to TaiwanSemiconductorManufacturing (2330.TW). Panasonic (6752.TO) is up 1.9% at Y526 following a report that the firm will slash its headquarters
2012-05-29,Taipei Times,"China to be removed from high-tech trade watch list; DECRIMINALIZATION:As early as tomorrow, workers who break rules on exports of high-tech","by removing criminal liability imposed for illegal trade in controlled items, with the exception of 12 types of items related to semiconductor manufacturing equipment."
2012-05-29,Israel Business Arena,"Hapoalim, Leumi to convert Tower capital notes to equity; The banks hold 96.4 million Tower capital notes, which if converted in full, will","Capital market sources believe that Bank Hapoalim (TASE: POLI) and Bank Leumi (TASE: LUMI) will convert the TowerSemiconductorLtd. (Nasdaq: TSEM; TASE: TSEM) capital notes they hold into equity in the specialty foundry, following negotiations. The conversion"
2012-05-29,Israel Business Arena,"TowerSemiconductorclarifies capital notes position; The company states that ""it has not been provided with notice by any of its capital note holders that they intend","TowerSemiconductorLtd. (Nasdaq: TSEM; TASE: TSEM), which trades as TowerJazz, has issued a statement meant to clarify reports about the expected conversion of capital notes into shares of Tower."
2012-05-29,PR Newswire (U.S.),BNY Mellon Appointed as Successor Depositary by Himax Technologies for its NASDAQ-Listed ADR Program,"Headquartered in Taiwan, Himax is a semiconductor solution provider dedicated to display image processing technologies. The company's main products are display driver integrated circuits and timing controllers used in TVs, notebook computers, monitors, mobile"
2012-05-30,Dow Jones International News,DialogSemiconductorStarted At Overweight By HSBC,Dialog Semiconductor Started At Overweight By HSBC
2012-05-31,Theflyonthewall.com,"TSMC chairman levels criticism against capital gains tax, Digitimes reports","TaiwanSemiconductor's (TSM) Chairman Morris Chang has openly criticized a capital gains tax proposal in Taiwan that could cost his company up to $100M a year, according to Digitimes."
2012-06-01,Marketwire,QuickLogic Corporation Prices Public Offering of Common Stock,"SUNNYVALE, CA--(Marketwire - June 01, 2012) - QuickLogic Corporation (NASDAQ: QUIK), the lowest power programmable semiconductor solutions leader, today announced the pricing of its underwritten public offering of an aggregate of 4,500,000 newly issued shares"
2012-06-01,Dow Jones Institutional News,PRESS RELEASE: Kulicke & Soffa Repays Remaining Subordinated Convertible Notes; Company Now Debt Free,"Kulicke & Soffa (NASDAQ: KLIC), a global leader in the design and manufacture of semiconductor assembly equipment, today announced it has repaid the entire remaining balance of its 0.875% Convertible Subordinated Notes (""Notes""), at the June 1, 2012 maturity"
2012-06-01,Nashville Business Journal,Tax credits face uncertain future under Gov. Haslam,"that undoubtedly helped lure some big-name, high-dollar projects to Tennessee under Democratic Gov. Phil Bredesen. Think HemlockSemiconductor, Volkswagen and Wacker Chemie, companies that received millions of dollars in state tax credits and are each investing"
2012-06-01,Taipei Times,"No threat from high-tech trade with PRC, Cho says; STOPPING WMD:The criminal ban on trade of strategic high-tech commodities with China was","Chos remarks came after the government announced that it planned to decriminalize the export of about 3,340 strategic high-tech commodities (SHTC) to China, with the exception of 12 items related to semiconductor manufacturing equipment."
2012-06-05,United States International Trade Commission Documents,"CertainSemiconductorChips With DRAM Circuitry, and Modules and Products Containing Same Determination Not To Review an Initial Determination To Amend the Compl","Regulatory Documents SUMMARY: Notice is hereby given that the U.S. International Trade Commission has determined not to review an initial determination (""ID"") (Order No. 7) to amend the complaint and notice of investigation to add"
2012-06-05,Investor's Business Daily,"Stocks Tack On Gains, But Volume Unimpressive","The Nasdaq advanced 0.7%, while the S&P 500 and the NYSE composite each added 0.6%. The Dow Jones industrial average edged up 0.2%. The Philadelphia semiconductor index jumped 2.2%."
2012-06-05,Jiji Press English News Service,SemiconductorShipments in Japan to Recover Slowly in 2012,"Tokyo, June 5 (Jiji Press)--Semiconductorshipments in Japan in 2012 are projected to recover from the previous year's 16.3 pct drop caused by the earthquake and tsunami in March, a private research organization said Tuesday."
2012-06-06,PR Newswire (U.S.),"Next Inning Technology Research Updates Outlooks on Ciena, Finisar, MicrochipSemiconductor, LatticeSemiconductor, and Spansion","semiconductor and technology stocks, has published updated outlooks for Ciena (Nasdaq: CIEN), Finisar (Nasdaq: FNSR), MicrochipSemiconductor(Nasdaq: MCHP), LatticeSemiconductor(Nasdaq: LSCC) and Spansion (NYSE: CODE)."
2012-06-07,EFYtimes.com,RisingSemiconductorInventories In Q1 Signal Potential Recovery In Demand,"Thursday, June 07, 2012:Semiconductorstockpiles held by chip suppliers increased during the first quarter of 2012, but the rise in inventory for a second straight quarter was driven by the anticipation of higher demand from customers, according to an IHS"
2012-06-08,Dow Jones International News,CypressSemiconductorCorp Started At Sell By Cantor Fitzgerald,Cypress Semiconductor Corp Started At Sell By Cantor Fitzgerald
2012-06-08,ETMAG.com,TSMC chairman criticizes capital gains tax,"Morris Chang, chairman of TaiwanSemiconductorManufacturing Company (TSMC), has openly criticized a capital gains tax proposal formulated by Taiwan's ruling KMT party caucus at the Legislative Yuan (parliament), stating that the proposed tax ruling will cost"
2012-06-11,Business Wire,Diodes Incorporated Maintains Second Quarter 2012 Guidance,"global manufacturer and supplier of high-quality application specific standard products within the broad discrete, logic and analog semiconductor markets, today stated that it is maintaining its guidance for the second quarter of 2012, which includes the expectation"
2012-06-12,The Gazette (MCT),CypressSemiconductormakes unsolicited bid for Ramtron,"June 12--CypressSemiconductorCorp. has made an unsolicited $84.3 million bid for Colorado Springs-based chip company Ramtron International Corp., its second formal offer for the company since the beginning of 2011."
2012-06-12,The Gazette (MCT),CypressSemiconductormakes unsolicited bid for Ramtron,"June 12--CypressSemiconductorCorp. made an unsolicited $84.3 million cash bid Tuesday for Colorado Springs-based chip company Ramtron International Corp., its second formal offer for the company since the beginning of 2011."
2012-06-12,Business Wire,"GigOptix, Inc. Set to Join Russell Microcap Index","GigOptix, Inc. (NYSE MKT:GIG), a leading fabless supplier of semiconductor and optical components that enable high speed information streaming, today announced that it will join the Russell Microcap(R) Index when Russell Investments reconstitutes its family"
2012-06-12,Dow Jones Institutional News,"PRESS RELEASE: GigOptix, Inc. Set to Join Russell Microcap Index","GigOptix, Inc. (NYSE MKT:GIG), a leading fabless supplier of semiconductor and optical components that enable high speed information streaming, today announced that it will join the Russell Microcap(R) Index when Russell Investments reconstitutes its family"
2012-06-11,Dow Jones International News,TSMC: Market Demand Hasn't Weakened Since It Hiked 2012 Capex Late April,"HSINCHU, Taiwan--TaiwanSemiconductorManufacturing Company Chairman Morris Chang said Tuesday that the U.S. economy has weakened over the past two months, and expressed concern over the outlook for the country that accounts for 70% of the chip maker's revenue"
2012-06-12,Dow Jones International News,"CML Microsystems Pretax Profit up 70%, Sees More Growth","LONDON-- CML Microsystems PLC (CML.LN), a manufacturer of semiconductor products, said Tuesday that fiscal 2012 pretax profit rose 70% on revenue up 6% and expects further growth in fiscal 2013."
2012-06-12,Dow Jones International News,UK SMALLCAP ROUNDUP: CML Microsystems' Storage Division to Drive Growth,"CML MICROSYSTEMS PLC (CML.LN), a designer and manufacturer of semiconductor products, posted Tuesday strong revenue and pretax profit growth in fiscal 2012 and said it anticipates further growth in fiscal 2013, led by its storage division, as customers adopt"
2012-06-13,Jiji Press English News Service,Japan Researchers Develop Transistor That Slashes Power Use,"Tokyo, June 13 (Jiji Press)--Japanese researchers have developed a transistor that could be used for a semiconductor integrated circuit that consumes only one-10th or less of the power consumed by existing chips."
2012-06-15,Taiwan Economic News,"YoungTek, Yoshikawa Partner on Chip Testing Equipment Business","Taipei, June 15, 2012 (CENS)-- YoungTek Electronics Corp. recently entered into alliance with YoshikawaSemiconductorCo., Ltd. to boost their sales of chip testing equipment by introducing their respective customers to each other and supporting each other"
2012-06-15,Dow Jones International News,LatticeSemiconductorCut To Hold From Buy By Craig-Hallum,Lattice Semiconductor Cut To Hold From Buy By Craig-Hallum
2012-06-18,Denver Business Journal Online,Colorado stocks: Ramtron shares up 9%,Ramtron International Corp. led Colorado stocks Monday after the Colorado Springs semiconductor company said it may be looking for a buyer.
2012-06-18,Taiwan Economic News,TSMC to Set up 18” Wafer Fabrication Plant in Taichung Science Park,"2012 (CENS)--With Council for Economic Planning and Development (CEPD) to expand the Taichung Science Park, central Taiwan, TaiwanSemiconductorManufacturing Co., Ltd. (TSMC), the world’s largest semiconductor foundry by market shares, is expected to locate"
2012-06-18,San Diego Business Journal,Three Local Firms Await IPO Debut After Filings,"At least two San Diego companies - ServiceNow Inc. and PeregineSemiconductorCorp. - have made filings this year related to pending initial public offerings of stock, although both have yet to pull the trigger on the long-planned IPOs."
2012-06-18,San Diego Business Journal,Three Local Firms Await IPO Debut After Filings,"At least two San Diego companies - ServiceNow Inc. and PeregineSemiconductorCorp. - have made filings this year related to pending initial public offerings of stock, although both have yet to pull the trigger on the long-planned IPOs."
2012-06-19,Dow Jones International News,Japan May Chip Equip Orders Dn 9.3%; BB Ratio 0.91-SEAJ,"TOKYO--Global orders for Japanese semiconductor manufacturing equipment fell 9.3% in May from a year earlier to Y108.12 billion, according to preliminary data released by an industry association Tuesday."
2012-06-20,Benzinga.com,Deutsche Bank Maintains Buy Rating on FreescaleSemiconductor,Deutsche Bank maintains at a Buy rating on FreescaleSemiconductor(NYSE: FSL) and a price target of $17.
2012-06-22,Dow Jones International News,TriQuintSemiconductorStarted At Hold By Canaccord Genuity,TriQuint Semiconductor Started At Hold By Canaccord Genuity
2012-06-25,Business Wire,Dow Corning and SUSS MicroTec Collaborating on Temporary Bonding Solution forSemiconductorPackaging,"Dow Corning, a leading supplier of advanced silicon technology and materials to the semiconductor industry, and SUSS MicroTec, a leading supplier of semiconductor processing equipment, today announced their collaboration on a temporary bonding solution for"
2012-06-25,Taiwan Economic News,TSMC of Taiwan Leads in Business Income Tax Payment in 2011,"the northern district posted the highest business income tax revenue of NT$77.225 billion (US$2.57 billion) last year, with TaiwanSemiconductorMfg. Co. (TSMC), Hon Hai Precision Ind. Co., and HTC Corp. being the top-three contributors in sequence, paying"
2012-06-25,Central News Agency English News,Taiwan's private sector needs more R&D funding: academic,"fellow at the country's top research institute Academia Sinica, said except for huge enterprises like the Hon Hai Group and TaiwanSemiconductorManufacturing Co that have made significant investments in R&D, companies in the private sector generally lack funds"
2012-06-26,Taiwan Economic News,Industrial Production Expected to Return to Growth in June,"industry witnessed a year-on-year decline of 0.56% in May’s output, while electronic components showed a rise of 1.67%. the TaiwanSemiconductorManufacturing Company (TSMC) and United Microelectronics (UMC) both recorded double-digit growth in May; TSMC’s"
2012-06-26,Dow Jones International News,SemiconductorManufacturing Intl Raised To Neutral From Underweight By JPMorgan,Semiconductor Manufacturing Intl Raised To Neutral From Underweight By JPMorgan
2012-06-28,Dow Jones International News,FairchildSemiconductorStarted At Buy By B Riley,Fairchild Semiconductor Started At Buy By B Riley
2012-06-29,Reuters News,"UPDATE 1-Renesas to sell 10 plants, cut 30 pct jobs - Nikkei","Renesas is in talks to sell its main fab for system chips in Yamagata Prefecture to TaiwanSemiconductorManufacturing Co , and a factory in the Aomori Prefecture to Fuji Electric Co, the daily said."
2012-07-02,China Daily - Hong Kong Edition,Chinese stocks rally in New York,"Inc , owner of the third-biggest search engine in China, jumped the most in three months, leading gains in Internet companies.SemiconductorManufacturing International Corp surged 7.9 percent, the most since November, while LDK Solar Co, the world's second"
2012-07-02,Dow Jones International News,ONSemiconductorCorp Started At Neutral By Sterne Agee,ON Semiconductor Corp Started At Neutral By Sterne Agee
2012-07-09,The Business Review Online,NY Loves Nanotech's pitch at Semicon West will promote nanocollege,"A group of companies in the Center for Economic Growth's NY Loves Nanotech initiative will be at Semicon West this week to promote the Albany, New York, region as a good place to expand or relocate a semiconductor business."
2012-07-09,Investor's Business Daily,Technology Leads Stocks Lower With Mixed Volume,"When the closing bell rang, the Dow Jones industrial average fell 0.3%, while the S&P 500 and the Nasdaq each fell 0.2%. The Philadelphia semiconductor index fell 1.2%."
2012-07-10,Dow Jones International News,CypressSemiconductorCorp Started At Sector Perform By Pacific Crest,Cypress Semiconductor Corp Started At Sector Perform By Pacific Crest
2012-07-09,Dow Jones International News,AdvancedSemiconductorTarget Cut To NT$28.2 By BoA-ML,Advanced Semiconductor Target Cut To NT$28.2 By BoA-ML
2012-07-11,Dow Jones Business News,"EARNINGS PREVIEW:US Chip Makers Face Wavering Appetite,Changing Tastes","TAKING THE PULSE:Semiconductordemand has been recovering slowly this year after a rocky 2011, when natural disasters in Thailand and Japan disrupted the hard drive industry, compounding the woes of a shaky economy."
2012-07-11,The Korea Herald,Eurozone crisis to weigh down on industrial conditions in H2: KCCI,"In research conducted with 11 different organizations, the second-half forecast for the information and telecommunications and machinery sectors is on the bright side with a slightly mixed outlook for semiconductor , automobile and petrochemical businesses."
2012-07-11,Company Reports,Amalfi semiconductor passes 100 M CMOS power amplifiers shipment milestone.,"across Asia. The office will provide sales, customer applications, corporate applications and engineering design functions. AmalfiSemiconductorInc is a fabless semiconductor company specialising in cost effective, high performance CMOS power amplifiers and"
2012-07-12,Central News Agency English News,TWSE approves China-based property developer's listing plan,"Sino Horizon, which was set up by the family of AdvancedSemiconductorEngineering (ASE) Chairman Jason Chang and registered in the Cayman Islands, is engaged in property development in major Chinese cities, such as Shanghai, Beijing and Chongqing, according"
2012-07-12,MarketWatch,Double whammy of gloom for chip stocks; Commentary: Tech investors should gird for possible downturn,"SAN FRANCISCO (MarketWatch) — This week has not been a good one for semiconductor stocks. Earnings warnings from two big players could be a harbinger of more weak forecasts to come, and fears of an industry downturn are in the air."
2012-07-14,Chicago Daily Herald,Three things you should know today,"LONDON -- U.S. semiconductor maker Nvidia Corp. says up to 400,000 users of its forums have had their encrypted passwords compromised in attacks dating back to early July. It's the latest in a stream of data thefts at major Internet companies over the past"
2012-07-16,Global Warming Focus,Environmental Science; Research on Environmental Science Detailed by Scientists at National Taipei University of Technology,"reduction agreements of six different industrial sectors in Taiwan, as well as the fluorinated gases (F-gas) reduction agreement of the semiconductor and Liquid Crystal Display (LCD) industries. The operating mechanisms, GHG reduction methods, capital investment"
2012-07-17,Dow Jones News Service,"Price Target Changes: Friedman, Billings & Ramsey",00 $12.60 12 Months ONSemiconductorCorp ONNN $10.00 $12.00 $23.50 12 Months Texas Instruments TXN $24.50 $30.00 $26.43 12 Months
2012-07-17,Investor's Business Daily,Stocks Turn Modestly Higher In Afternoon Trade,"The Dow Jones industrial average and the S&P 500 climbed 0.4% each. Meanwhile, the Nasdaq lagged with a 0.2% gain. Chip stocks were a drag. The Philadelphia semiconductor index was down 1%. Turnover continued to track sharply higher across the board."
2012-07-18,Taiwan Economic News,Private Investments Approach NT$700 B. in 1st Half,"Major investors in the first half include TaiwanSemiconductorManufacturing Corp., Siliconware Precision, and Hiwin Technologies. Flat panel display (FPD) firms are conspicuously absent from the list of major investors."
2012-07-17,Dow Jones Chinese Financial Wire,"DJ MARKET TALK: Taiwan Shares Down 0.3%, As Intel's Outlook Weighs","1001 [Dow Jones] Taiwan shares are down 0.3% at 7107.93, after opening up 0.1% as some semiconductor and PC hardware makers fall on Intel's (INTC) weakened outlook, says Horizon Securities analyst Benson Huang. UMC (2303.TW) is down 1.2% at NT$12.30, Asustek"
2012-07-18,Dow Jones Chinese Financial Wire,DJ MARKET TALK: Nomura Cuts AdvancedSemiconductorTarget To NT$29,"1207 [Dow Jones] STOCK CALL: Nomura cuts AdvancedSemiconductor's (2311.TW) price target to NT$29.00 from NT$35.00 after revising down its 2012-13 EPS earnings by 15%-29% as the house expects the company's 2H12 outlook to be hit by weak end-demand, especially"
2012-07-18,San Francisco Business Times Online,Intel Corp. warns economy is getting sour,"In its Tuesday earnings report, semiconductor giant Intel Corp. met analysts' predictions about its performance, but nevertheless warned that the slowing economy is hurting its business, the Mercury News reports."
2012-07-18,Investor's Business Daily,Stocks Add To Gains; Stratasys Breaks Out,"The Nasdaq extended its gain to 1%. The Philadelphia semiconductor index jumped 3.1%. Meanwhile, the Dow Jones industrial average and S&P 500 climbed 0.6% each. Turnover was tracking mixed, with Nasdaq higher and NYSE lower."
2012-07-18,Dow Jones Chinese Financial Wire,DJ MARKET TALK: Nikkei +1.1% On US Tech Rally; 8850 Resistance Eyed,"gains on Wall Street, helped by Intel's (INTC) above-view earnings Tuesday. ""The U.S. tech rally is aiding the broad market and semiconductor shares,"" says SMBC Nikko Securities general manager of equities Hiroichi Nishi; he adds ""the market looked oversold"
2012-07-19,The Electronic Times,Trade Balance in System Semiconductors Continues to Improve,"Economic indicators show that South Korea’s trade balance in system semiconductors has improved steadily. After reaching a record high of US$878 million last year, the trade surplus far exceeded last year’s total trade surplus in the first"
2012-07-20,Telecompaper World,IDC predicts worldwide growth in semiconductor revenues,"Semiconductorrevenues worldwide are expected to grow 4.6 percent in 2012 to USD 315 billion, according to the mid-year 2012 update of theSemiconductorApplications Forecaster, SAF, from IDC. The revenues are expected to grow 6.2 percent to USD 335 billion"
2012-07-20,Company Reports,Dow Corning's response to China Ministry of Commerce proceedings on US polysilicon.,"Dow Corning Corp and HemlockSemiconductorGroup (Hemlock), has opined that the US and China have yet to negotiate a sustainable, mutually beneficial settlement to the global trade issues that have arisen in the solar industry. This review is part of a broader"
2012-07-21,Ukrainian Export-Import Statistics,Ukraine's export/import over 6 months of 2012,"8541 -SEMICONDUCTORDEVICES LIGHT-EMITTING DIODES MOUNTED PIEZOELECTRIC CRYSTALS PARTS THEREOF DIODES, TRANSISTORS, PHOTOSENSITIVESEMICONDUCTORDEVICES, PHOTOVOLTAIC CELLS"
2012-07-22,Dow Jones Global Equities News,AdvancedSemiconductorTarget Cut To NT$23 Vs NT$25 By BNP,-0 =-
2012-07-23,Dow Jones Global Equities News,CypressSemiconductorCorp Raised To Hold From Sell By Cantor Fitzgerald,Cypress Semiconductor Corp Raised To Hold From Sell By Cantor Fitzgerald
2012-07-25,Jiji Press English News Service,"Plating Firms, Chipmakers Put on Alert against Carcinogens","Tokyo, July 25 (Jiji Press)-- Japan's health ministry has urged the plating, metal processing and semiconductor industries to take appropriate precaution as the cleaning agents they use contain the chemicals believed to have caused bile duct cancer among printing"
2012-07-25,Dow Jones Global Equities News,UK MARKET TALK ROUNDUP: BROKERS COMMENTS,"analyst Julian Yates. ARM also forecast that its 2012 revenue will be in line with market expectations of $875M, while others in the semiconductor industry have recently warned that they'll miss expectations. ARM is outperforming the industry because of its"
2012-07-26,Dow Jones Global Equities News,AdvancedSemiconductorRaised To Buy From Outperform - Daiwa,Advanced Semiconductor Raised To Buy From Outperform - Daiwa
2012-07-26,CQ FD Disclosure,Q2 2012 MicrelSemiconductorEarnings Conference Call - Final,"OPERATOR: Good afternoon, ladies and gentlemen. And welcome to today's MicrelSemiconductorsecond quarter 2012 earnings conference call. Please note that all your lines are on listen-only mode and there will be time for a question and answer session towards"
2012-07-26,Dow Jones Chinese Financial Wire,"DJ KLA-Tencor 4Q Net Edges Up 1.2% on Flat Revenue, Lower Income Tax Provision","KLA-Tencor, which makes systems that monitor semiconductor wafer production, saw its revenue increase only slightly in the fiscal third quarter as product revenue clocked minimal gains and service revenue declined."
2012-07-27,Dow Jones Global Equities News,VolterraSemiconductorRaised To Buy From Neutral By National Securities,Volterra Semiconductor Raised To Buy From Neutral By National Securities
2012-07-27,Investor's Business Daily,Stocks Surge Again On EU Hopes,"The Nasdaq shot up 2.2%, the S&P 500 swelled 1.9% and the Dow Jones industrial average leapt 1.5%. Technology shares chipped in with the Philadelphia semiconductor index rising 2.3%."
2012-07-27,MoneyControl,Mecklai Graph: Will Japan trim its trade deficit?,"by a global economic slowdown. The countryâs trade surplus with the EU during the first half was at a record low as vehicles and semiconductor shipments dived. Meanwhile, the countryâs enduring wariness of nuclear energy has led to record imports."
2012-07-29,Dow Jones Global Equities News,MalaysiaSemiconductorSector Cut to Neutral From Overweight -RHB,Malaysia Semiconductor Sector Cut to Neutral From Overweight -RHB
2012-07-31,United States International Trade Commission Documents,CertainSemiconductorChips and Products Containing Same; Termination of the Investigation With a Finding of No Violation of Section 337,"Regulatory Documents SUMMARY: Notice is hereby given that the U.S. International Trade Commission has determined to terminate the above-captioned investigation with a finding of no violation of section 337 of the Tariff Act of 1930, 19"
2012-07-31,Proceedings of the National Academy of Sciences of the United States of America,Optically switchable organic field-effect transistors based on photoresponsive gold nanoparticles blended with poly(3-hexylthiophene),"response. Alongside the electric control through the gate electrode, we incorporated photoresponsive nanostructures in the polymeric semiconductor via blending, thereby providing optical switching ability to the device. In particular, we mixed poly(3-hexylthiophene"
2012-08-01,Economist Intelligence Unit - Country Commerce,Political/commercial background: Recent foreign direct investment,"Amkor Technology, a US-based company which provides outsourced semiconductor packaging and test services&#184; announced in May 2012 that it will invest US$350m by 2016 to establish a manufacturing and research-and-development facility in South Korea. The facility"
2012-08-01,The Wall Street Journal Online,Ex-Research Consultant Shared Data With Fund Manager in Insider Case,A former independent research consultant said Wednesday that he sought out and shared confidential information about a semiconductor maker with a Northern California hedge-fund manager on trial in New York for insider trading.
2012-08-02,Kyodo News,Renesas logs 20 billion yen group net loss in April-June qtr.,"billion yen, mainly due to weak demand in the European and Chinese markets and the yen's appreciation against the euro, the Japanese semiconductor maker said."
2012-08-03,Taiwan Economic News,TSMC and UMC Offer Discounts to Counter Offseason Effect,"Taipei, August 3, 2012 (CENS)—To boost capacity utilization, TaiwanSemiconductorManufacturing Corp. (TSMC) and United Microelectronics Corp. (UMC) have reportedly decided to offer discounts on 40 nm and other mainstream processing services and resume price"
2012-08-03,Austin Business Journal,Austin chipmakers' 2012 so far: so-so,Austin’s semiconductor companies made modest gains in the second quarter and expect a sluggish third quarter also.
2012-08-07,Investor's Business Daily,Nasdaq Hits New Session High,"tech-heavy index pushed ahead to a new session high, rising 0.8% to above the 3000 mark. Chips were strong, as the Philadelphia semiconductor index jumped 2.1%. Bellwethers Amazon.com (AMZN), Priceline.com (PCLN) and Intuitive Surgical (ISRG) were also higher"
2012-08-07,Dow Jones Global Equities News,FreescaleSemiconductorRaised To Buy From Neutral By Goldman Sachs,Freescale Semiconductor Raised To Buy From Neutral By Goldman Sachs
2012-08-08,Commodity Online,Silver market surplus at 3K tons in 2012 4K tons in 2013: Barclays,the demand side has ventured along a different path. Industrial demand has slowed y y from silver powder imports into China to semiconductor shipments.
2012-08-08,The Wall Street Journal Online,"Bloomin' Brands , PeregrineSemiconductorClimb in Debuts",PeregrineSemiconductorCorp. made modest early trading gains on its first day as a publicly traded company.
2012-08-10,Dow Jones Global Equities News,SemiconductorManufacturing International Corp Raised To Overweight From Neutral By HSBC,Semiconductor Manufacturing International Corp Raised To Overweight From Neutral By HSBC
